"ID","Title","Published","Solved By","Last Poster","Last Post Date","Solve Status"
390,"Triangles with Non Rational Sides and Integral Area",1340478000,638,FlorianDelpoux,1732931988,0
391,"Hopping Game",1341093600,318,FlorianDelpoux,1733014183,0
392,"Enmeshed Unit Circle",1346504400,900,<i>Mikhail Lomonosov</i>,1749579969,0
393,"Migrating Ants",1347120000,870,FlorianDelpoux,1733097600,0
394,"Eating Pie",1347735600,615,megabyte0,1750163994,0
395,"Pythagorean Tree",1348351200,788,firas5673,1743630007,0
396,"Weak Goodstein Sequence",1348966800,740,bcsb1001,1741045537,0
397,"Triangle on Parabola",1349582400,307,FlorianDelpoux,1733268184,0
398,"Cutting Rope",1350198000,433,FlorianDelpoux,1733273175,0
399,"Squarefree Fibonacci Numbers",1350813600,660,i707107,1745001170,0
400,"Fibonacci Tree Game",1351342800,550,FlorianDelpoux,1733395485,0
401,"Sum of Squares of Divisors",1352563200,2974,overnite81,1749878914,0
402,"Integer-valued Polynomials",1353178800,483,wim59,1751391413,0
403,"Lattice Points Enclosed by Parabola and Line",1353794400,402,wim59,1751897925,0
404,"Crisscross Ellipses",1354410000,369,it3,1750599871,0
405,"A Rectangular Tiling",1355025600,712,FlorianDelpoux,1747000790,0
406,"Guessing Game",1355641200,444,thedoctar,1738323675,0
407,"Idempotents",1356256800,2797,papadil,1747192077,0
408,"Admissible Paths Through a Grid",1356786000,665,<i>Mikhail Lomonosov</i>,1752182680,0
409,"Nim Extreme",1357401600,512,wborgeaud,1714464305,0
410,"Circle and Tangent Line",1358017200,320,wim59,1717892615,0
411,"Uphill Paths",1358632800,771,j...,1700146610,0
412,"Gnomon Numbering",1359248400,573,j...,1728428807,0
413,"One-child Numbers",1359864000,451,<i>Janardhanan</i>,1742014776,0
414,"Kaprekar Constant",1360479600,325,phs75,1680789270,0
415,"Titanic Sets",1361095200,378,Redshiftz,1752961954,0
416,"A Frog's Trip",1361624400,338,j...,1732780945,0
417,"Reciprocal Cycles II",1362240000,1017,hitman47,1752174717,0
418,"Factorisation Triples",1362855600,782,rexcirus,1750500518,0
419,"Look and Say Sequence",1363471200,560,<i>Mikhail Lomonosov</i>,1752613809,0
420,"$2 \times 2$ Positive Integer Matrix",1364086800,507,wim59,1752194045,0
421,"Prime Factors of $n^{15}+1$",1364698800,771,hitman47,1753463936,0
422,"Sequence of Points on a Hyperbola",1365314400,323,derektypist2019,1668021581,0
423,"Consecutive Die Throws",1365930000,560,Genuine,1746468557,0
424,"Kakuro",1366459200,463,jy314,1748613613,0
425,"Prime Connection",1367074800,1666,sqrt73,1744902036,0
426,"Box-Ball System",1367690400,285,Swistakk,1727699786,0
427,"$n$-sequences",1368306000,365,lightbulbMEOW,1707749084,0
428,"Necklace of Circles",1368921600,284,thedoctar,1753954289,0
429,"Sum of Squares of Unitary Divisors",1369537200,2843,JMc137,1751163224,0
430,"Range Flips",1370152800,964,<i>Mikhail Lomonosov</i>,1752794259,0
431,"Square Space Silo",1370768400,688,<i>Mikhail Lomonosov</i>,1752756092,0
432,"Totient Sum",1371297600,574,thedoctar,1754074314,0
433,"Steps in Euclid's Algorithm",1371913200,511,wim59,1753247511,0
434,"Rigid Graphs",1372528800,378,wim59,1694843504,0
435,"Polynomials of Fibonacci Numbers",1378566000,1300,sqrt73,1747918144,0
436,"Unfair Wager",1379181600,518,wim59,1752891441,0
437,"Fibonacci Primitive Roots",1379797200,924,wim59,1752981732,0
438,"Integer Part of Polynomial Equation's Solutions",1380412800,314,hacatu,1753644608,0
439,"Sum of Sum of Divisors",1381028400,474,popop614,1754425919,0
440,"GCD and Tiling",1381644000,451,wim59,1720119346,0
441,"The Inverse Summation of Coprime Couples",1382259600,407,j...,1717501893,0
442,"Eleven-free Integers",1382788800,460,wim59,1720232533,0
443,"GCD Sequence",1383408000,1309,sqrt73,1748196316,0
444,"The Roundtable Lottery",1384023600,350,Oleg.,1731031003,0
445,"Retractions A",1384639200,468,i707107,1740430227,0
446,"Retractions B",1384639200,443,i707107,1740383462,0
447,"Retractions C",1384639200,367,Redshiftz,1753179835,0
448,"Average Least Common Multiple",1385254800,403,aryabhatta_euler,1750865604,0
449,"Chocolate Covered Candy",1386475200,1033,matressi,1748784806,0
450,"Hypocycloid and Lattice Points",1387090800,224,wim59,1718228996,0
451,"Modular Inverses",1387706400,1663,hitman47,1746863476,0
452,"Long Products",1388235600,673,SciFiShroom,1726093671,0
453,"Lattice Quadrilaterals",1388851200,251,pseudog,1619624538,0
454,"Diophantine Reciprocals III",1389466800,558,aryabhatta_euler,1752593102,0
455,"Powers with Trailing Digits",1390082400,829,FlorianDelpoux,1752493088,0
456,"Triangles Containing the Origin II",1390698000,468,<i>Greymagick</i>,1739553995,0
457,"A Polynomial Modulo the Square of a Prime",1391313600,925,wim59,1753225670,0
458,"Permutations of Project",1391929200,1069,brucehart,1740838076,0
459,"Flipping Game",1392544800,268,staffn,1753897195,0
460,"An Ant on the Move",1393074000,363,hidesugar,1705476201,0
461,"Almost Pi",1393689600,1379,sqrt73,1744806874,0
462,"Permutation of 3-smooth Numbers",1394305200,373,j...,1728349127,0
463,"A Weird Recurrence Relation",1394920800,1269,FlorianDelpoux,1738894935,0
464,"Möbius Function and Intervals",1395536400,374,wim59,1753394147,0
465,"Polar Polygons",1396152000,259,<i>Zach</i>,1750756382,0
466,"Distinct Terms in a Multiplication Table",1396764000,375,hidesugar,1710139322,0
467,"Superinteger",1397379600,509,Smylic,1744415645,0
468,"Smooth Divisors of Binomial Coefficients",1397908800,324,sebastiangarrido,1741026210,0
469,"Empty Chairs",1398524400,853,LhAllant,1750445930,0
470,"Super Ramvok",1399140000,264,<i>Reiner Martin</i>,1638370764,0
471,"Triangle Inscribed in Ellipse",1399755600,250,ikillsssue,1754555099,0
472,"Comfortable Distance II",1400371200,291,<i>Reiner Martin</i>,1624745348,0
473,"Phigital Number Base",1400986800,817,FlorianDelpoux,1739155063,0
474,"Last Digits of Divisors",1401602400,479,j...,1729253564,0
475,"Music Festival",1402218000,509,j...,1739665034,0
476,"Circle Packing II",1402747200,465,thomjackson,1677173008,0
477,"Number Sequence Game",1408806000,293,Swistakk,1726609124,0
478,"Mixtures",1409421600,231,popop614,1754331954,0
479,"Roots on the Rise",1410037200,1472,sqrt73,1746900796,0
480,"The Last Question",1410652800,665,aviad_bl,1734808851,0
481,"Chef Showdown",1411268400,288,Jacob_Elafandi,1680747499,0
482,"The Incenter of a Triangle",1411884000,256,hacatu,1742186042,0
483,"Repeated Permutation",1412499600,304,byhill,1741793019,0
484,"Arithmetic Derivative",1413028800,468,aryabhatta_euler,1754279394,0
485,"Maximum Number of Divisors",1413644400,1321,sqrt73,1745689038,0
486,"Palindrome-containing Strings",1414260000,302,phs75,1677421286,0
487,"Sums of Power Sums",1414879200,756,Genuine,1753990792,0
488,"Unbalanced Nim",1415494800,272,wim59,1721746578,0
489,"Common Factors Between Two Sequences",1416110400,290,jy314,1718311761,0
490,"Jumping Frog",1416726000,367,<i>Yoni</i>,1735332510,0
491,"Double Pandigital Number Divisible by $11$",1417341600,2420,froycard,1751790971,0
492,"Exploding Sequence",1417870800,413,abliobli1821,1753868210,0
493,"Under the Rainbow",1418486400,5988,Paixiao,1746373697,0
494,"Collatz Prefix Families",1419102000,251,androl,1601467479,0
495,"Writing $n$ as the Product of $k$ Distinct Positive Integers",1419717600,371,brucehart,1740417136,0
496,"Incenter and Circumcenter of Triangle",1420333200,372,hacatu,1732165828,0
497,"Drunken Tower of Hanoi",1420948800,628,FlorianDelpoux,1748268773,0
498,"Remainder of Polynomial Division",1421564400,591,FlorianDelpoux,1752225079,0
499,"St. Petersburg Lottery",1422180000,398,staffn,1752854278,0
500,"Problem 500!!!",1422709200,4556,phroq,1749724652,0
501,"Eight Divisors",1422709200,1565,FlorianDelpoux,1752885339,0
502,"Counting Castles",1423324800,344,uau,1737574665,0
503,"Compromise or Persist",1423940400,368,wim59,1753989358,0
504,"Square on the Inside",1424556000,3461,SeventhRootOfUnity,1747918312,0
505,"Bidirectional Recurrence",1425171600,242,Swistakk,1712617749,0
506,"Clock Sequence",1425787200,1020,FlorianDelpoux,1738535914,0
507,"Shortest Lattice Vector",1426402800,243,SYury,1629053833,0
508,"Integers in Base $i-1$",1427018400,269,<i>fogjad mameg a s...</i>,1732825759,0
509,"Divisor Nim",1427547600,689,FlorianDelpoux,1754343579,0
510,"Tangent Circles",1428159600,1152,FlorianDelpoux,1738459783,0
511,"Sequences with Nice Divisibility Properties",1428775200,487,mart0258,1750919273,0
512,"Sums of Totients of Powers",1429390800,1704,hitman47,1749980704,0
513,"Integral Median",1430006400,350,wim59,1744857083,0
514,"Geoboard Shapes",1430622000,255,<i>fogjad mameg a s...</i>,1731197258,0
515,"Dissonant Numbers",1431237600,522,FlorianDelpoux,1750112843,0
516,"$5$-smooth Totients",1431853200,1747,hitman47,1745690337,0
517,"A Real Recursion",1432382400,511,FlorianDelpoux,1754441011,0
518,"Prime Triples and Geometric Sequences",1432998000,1801,hitman47,1745859190,0
519,"Tricoloured Coin Fountains",1433613600,387,j...,1731309913,0
520,"Simbers",1434229200,472,octarin,1719444521,0
521,"Smallest Prime Factor",1434844800,877,thedoctar,1754721603,0
522,"Hilbert's Blackout",1435460400,306,zielaj,1623679420,0
523,"First Sort I",1441519200,1135,FlorianDelpoux,1738595846,0
524,"First Sort II",1441519200,257,kissmoo,1705695978,0
525,"Rolling Ellipse",1442134800,559,lukaxs,1739455564,0
526,"Largest Prime Factors of Consecutive Numbers",1442664000,354,wim59,1745075632,0
527,"Randomized Binary Search",1443279600,833,<i>Mikhail Lomonosov</i>,1751642145,0
528,"Constrained Sums",1443895200,344,SpectralSequence...,1745788833,0
529,"$10$-substrings",1444510800,302,bdolson,1752109049,0
530,"GCD of Divisors",1445126400,532,aryabhatta_euler,1754678890,0
531,"Chinese Leftovers",1445745600,1319,sel68,1749720334,0
532,"Nanobots on Geodesics",1446361200,344,royjac,1604060920,0
533,"Minimum Values of the Carmichael Function",1446976800,382,j...,1734963768,0
534,"Weak Queens",1447506000,357,wim59,1745464299,0
535,"Fractal Sequence",1448121600,328,hidesugar,1658049916,0
536,"Modulo Power Identity ",1448737200,335,wim59,1754572903,0
537,"Counting Tuples",1449352800,736,wim59,1750988178,0
538,"Maximum Quadrilaterals",1449968400,368,FlorianDelpoux,1748383372,0
539,"Odd Elimination",1450584000,933,hitman47,1748079342,0
540,"Counting Primitive Pythagorean Triples",1451199600,762,hitman47,1745139805,0
541,"Divisibility of Harmonic Number Denominators",1451815200,244,shs.10978,1659413731,0
542,"Geometric Progression with Maximum Sum",1452344400,264,wim59,1745618301,0
543,"Prime-Sum Numbers",1452960000,789,walgong,1742196938,0
544,"Chromatic Conundrum",1453575600,301,aryanc403,1701559288,0
545,"Faulhaber's Formulas",1454191200,618,i707107,1740761738,0
546,"The Floor's Revenge",1454806800,275,aryabhatta_euler,1754638493,0
547,"Distance of Random Points Within Hollow Square Laminae",1455422400,255,oliveul,1586101653,0
548,"Gozinta Chains",1456038000,711,FlorianDelpoux,1743373031,0
549,"Divisibility of Factorials",1456653600,3117,sqrt73,1738114664,0
550,"Divisor Game",1457182800,410,wim59,1754610264,0
551,"Sum of Digits Sequence",1457798400,530,Patryqss,1695190456,0
552,"Chinese Leftovers II",1458414000,514,FlorianDelpoux,1752270739,0
553,"Power Sets of Power Sets",1459029600,248,bobbilyking,1706214094,0
554,"Centaurs on a Chess Board",1459641600,281,Swistakk,1725456808,0
555,"McCarthy 91 Function",1460257200,807,SAG145,1751712108,0
556,"Squarefree Gaussian Integers",1460872800,290,bigbangzeus,1742791253,0
557,"Cutting Triangles",1461488400,321,<i>griff</i>,1734161390,0
558,"Irrational Base",1462017600,281,koicy,1710507169,0
559,"Permuted Matrices",1462633200,215,derektypist2019,1661519838,0
560,"Coprime Nim",1463248800,384,wim59,1751165107,0
561,"Divisor Pairs",1463864400,887,_epistemologist,1750125879,0
562,"Maximal Perimeter",1464480000,215,Hoppi,1678717339,0
563,"Robot Welders",1465095600,391,j...,1714349185,0
564,"Maximal Polygons",1465711200,275,wim59,1746291586,0
565,"Divisibility of Sum of Divisors",1466326800,722,FlorianDelpoux,1741913573,0
566,"Cake Icing Puzzle",1466856000,220,<i>griff</i>,1754123196,0
567,"Reciprocal Games I",1472914800,345,JudgeHoffman,1673529084,0
568,"Reciprocal Games II",1472914800,332,JudgeHoffman,1673532513,0
569,"Prime Mountain Range",1473530400,450,FlorianDelpoux,1754901705,0
570,"Snowflakes",1474146000,306,wim59,1746718867,0
571,"Super Pandigital Numbers",1474761600,1248,<i>Mikhail Lomonosov</i>,1752971925,0
572,"Idempotent Matrices",1475377200,394,SNAIL-ERATO,1736248863,0
573,"Unfair Race",1475992800,239,<i>Yoni</i>,1733176539,0
574,"Verifying Primes",1476608400,300,damiengif,1567500546,0
575,"Wandering Robots",1477137600,663,<i>Nick Potter</i>,1744870131,0
576,"Irrational Jumps",1477753200,259,wim59,1658121626,0
577,"Counting Hexagons",1478977200,1767,aksarv,1751384140,0
578,"Integers with Decreasing Prime Powers",1479592800,275,dainichikai,1750694364,0
579,"Lattice Points in Lattice Cubes",1480208400,194,wim59,1747437876,0
580,"Squarefree Hilbert Numbers",1480824000,290,sukon767,1721583109,0
581,"$47$-smooth Triangular Numbers",1481439600,1009,hitman47,1748189714,0
582,"Nearly Isosceles $120$ Degree Triangles",1482055200,373,<i>pilotInPyjamas</i>,1741135222,0
583,"Heron Envelopes",1482584400,416,KING-OLE,1717369345,0
584,"Birthday Problem Revisited",1483200000,243,SanguineChameleon2,1752060241,0
585,"Nested Square Roots",1483815600,203,lightbulbMEOW,1739275639,0
586,"Binary Quadratic Form",1484431200,263,j...,1675118867,0
587,"Concave Triangle",1485046800,3530,BenjamC,1752319064,0
588,"Quintinomial Coefficients",1485662400,508,FlorianDelpoux,1746234850,0
589,"Poohsticks Marathon",1486278000,234,Oleg.,1749520505,0
590,"Sets with a Given Least Common Multiple",1486893600,302,<i>Icy</i>,1673628270,0
591,"Best Approximations by Quadratic Integers",1487422800,225,hacatu,1754869424,0
592,"Factorial Trailing Digits 2",1488038400,335,SNAIL-ERATO,1736550943,0
593,"Fleeting Medians",1488654000,623,i707107,1750871840,0
594,"Rhombus Tilings",1489269600,212,wim59,1694806969,0
595,"Incremental Random Sort",1489885200,716,<i>Mikhail Lomonosov</i>,1751806686,0
596,"Number of Lattice Points in a Hyperball",1490497200,417,eigenvector,1754616556,0
597,"Torpids",1491112800,193,FlorianDelpoux,1731504483,0
598,"Split Divisibilities",1491728400,563,FlorianDelpoux,1749688382,0
599,"Distinct Colourings of a Rubik's Cube",1492257600,351,Varcho,1736023997,0
600,"Integer Sided Equiangular Hexagons",1492873200,689,FlorianDelpoux,1738969082,0
601,"Divisibility Streaks",1493488800,2339,ATawnyOwl,1740360115,0
602,"Product of Head Counts",1494104400,580,<i>Mikhail Lomonosov</i>,1753914123,0
603,"Substring Sums of Prime Concatenations",1494720000,488,<i>Mikhail Lomonosov</i>,1752055381,0
604,"Convex Path in Square",1495335600,569,FlorianDelpoux,1749599148,0
605,"Pairwise Coin-Tossing Game",1495951200,955,<i>Mikhail Lomonosov</i>,1740015356,0
606,"Gozinta Chains II",1496566800,429,j...,1729684783,0
607,"Marsh Crossing",1497096000,1904,md-geist,1753537797,0
608,"Divisor Sums",1497711600,351,brucehart,1740165444,0
609,"$\pi$ Sequences",1504969200,1051,<i>Mikhail Lomonosov</i>,1735668177,0
610,"Roman Numerals II",1506189600,693,ravdin,1752178480,0
611,"Hallway of Square Steps",1507410000,374,ColinPitrat,1738139098,0
612,"Friend Numbers",1508630400,779,<i>Mikhail Lomonosov</i>,1750140952,0
613,"Pythagorean Ant",1509854400,2025,jakell,1751109489,0
614,"Special Partitions 2",1511074800,339,i707107,1749793519,0
615,"The Millionth Number with at Least One Million Prime Factors",1512295200,671,MrDrake,1746019638,0
616,"Creative Numbers",1513429200,539,<i>Mikhail Lomonosov</i>,1751581135,0
617,"Mirror Power Sequence",1514649600,416,FlorianDelpoux,1747882214,0
618,"Numbers with a Given Prime Factor Sum",1515870000,1189,SanguineChameleon2,1752993620,0
619,"Square Subsets",1517090400,465,FlorianDelpoux,1754905148,0
620,"Planetary Gears",1518310800,189,lightbulbMEOW,1717678589,0
621,"Expressing an Integer as the Sum of Triangular Numbers",1519531200,630,<i>ricbit</i>,1750736948,0
622,"Riffle Shuffles",1520751600,1954,abelin,1743146467,0
623,"Lambda Count",1521968400,374,bcsb1001,1748190602,0
624,"Two Heads Are Better Than One",1523102400,717,MrDrake,1745464598,0
625,"Gcd Sum",1524322800,746,<i>Nick Potter</i>,1753771923,0
626,"Counting Binary Matrices",1525543200,264,wim59,1741405498,0
627,"Counting Products",1526763600,264,wim59,1741538597,0
628,"Open Chess Positions",1527984000,899,<i>Mikhail Lomonosov</i>,1740484222,0
629,"Scatterstone Nim",1529204400,277,firas5673,1702460696,0
630,"Crossed Lines",1530424800,1157,Tcarrot4,1736085315,0
631,"Constrained Permutations",1531645200,213,sshard,1727973221,0
632,"Square Prime Factors",1532779200,571,aryabhatta_euler,1754370374,0
633,"Square Prime Factors II",1532779200,368,wim59,1742574109,0
634,"Numbers of the Form $a^2b^3$",1533999600,709,marecik16,1752711344,0
635,"Subset Sums",1535220000,401,FlorianDelpoux,1750560452,0
636,"Restricted Factorisations",1536440400,225,Swistakk,1724884613,0
637,"Flexible Digit Sum",1537660800,364,wim59,1707630336,0
638,"Weighted Lattice Paths",1538881200,425,FlorianDelpoux,1748211074,0
639,"Summing a Multiplicative Function",1540101600,321,aryabhatta_euler,1753969927,0
640,"Shut the Box",1540720800,418,ConnorColombe,1751006708,0
641,"A Long Row of Dice",1541250000,567,MrDrake,1747468775,0
642,"Sum of Largest Prime Factors",1541865600,414,wim59,1742690249,1
643,"$2$-Friendly",1542481200,719,hitman47,1753011766,0
644,"Squares on the Line",1543096800,180,aTree,1730177811,0
645,"Every Day Is a Holiday",1543712400,248,matressi,1748887640,0
646,"Bounded Divisors",1544328000,328,FlorianDelpoux,1752480387,0
647,"Linear Transformations of Polygonal Numbers",1544943600,495,<i>Mikhail Lomonosov</i>,1740808685,0
648,"Skipping Squares",1545559200,328,FlorianDelpoux,1754781506,0
649,"Low-Prime Chessboard Nim",1546088400,481,FlorianDelpoux,1738458208,0
650,"Divisors of Binomial Product",1546704000,1914,abelin,1742534819,0
651,"Patterned Cylinders",1547319600,196,staffn,1709910737,0
652,"Distinct Values of a Proto-logarithmic Function",1547935200,188,linguo,1551010583,0
653,"Frictionless Tube",1548550800,356,pwild,1735622650,0
654,"Neighbourly Constraints",1549166400,397,wim59,1706631526,0
655,"Divisible Palindromes",1549782000,640,MrDrake,1746609873,0
656,"Palindromic Sequences",1550397600,269,SanguineChameleon2,1753539125,0
657,"Incomplete Words",1550926800,638,firas5673,1750958203,0
658,"Incomplete Words II",1550926800,273,SanguineChameleon2,1753551964,0
659,"Largest Prime",1551542400,1123,Oliver1012,1739522510,0
660,"Pandigital Triangles",1552158000,341,FlorianDelpoux,1748337399,0
661,"A Long Chess Match",1552773600,262,j...,1739971164,0
662,"Fibonacci Paths",1553389200,928,FlorianDelpoux,1736126431,0
663,"Sums of Subarrays",1554001200,418,FlorianDelpoux,1740176715,0
664,"An Infinite Game",1554616800,220,,1749378878,0
665,"Proportionate Nim",1555232400,279,mbh038,1583394589,0
666,"Polymorphic Bacteria",1555761600,339,FlorianDelpoux,1754694863,0
667,"Moving Pentagon",1556377200,228,CyclicISLscelesT...,1703751569,0
668,"Square Root Smooth Numbers",1556992800,1202,i707107,1737513603,0
669,"The King's Banquet",1557608400,347,j...,1736197421,0
670,"Colouring a Strip",1558224000,395,FlorianDelpoux,1750206339,0
671,"Colouring a Loop",1558224000,207,michpro,1751728017,0
672,"One More One",1558839600,305,bcsb1001,1728879481,0
673,"Beds and Desks",1559455200,363,FlorianDelpoux,1744684468,0
674,"Solving $\mathcal{I}$-equations",1560070800,191,SanguineChameleon2,1753968625,0
675,"$2^{\omega(n)}$",1560600000,873,sqrt73,1750807905,0
676,"Matching Digit Sums",1561215600,264,j...,1735282361,0
677,"Coloured Graphs",1561831200,213,Varcho,1729055658,0
678,"Fermat-like Equations",1567890000,271,wim59,1695357295,0
679,"Freefarea",1568505600,1029,sqrt73,1738612720,0
680,"Yarra Gnisrever",1569121200,221,marecik16,1730423271,0
681,"Maximal Area",1569736800,254,SNAIL-ERATO,1680030783,0
682,"$5$-Smooth Pairs",1570352400,309,j...,1674620699,0
683,"The Chase II",1570881600,368,marecik16,1754591544,0
684,"Inverse Digit Sum",1571497200,3097,Roy_Elia,1748478764,0
685,"Inverse Digit Sum II",1571497200,229,MoltenMan,1751006541,0
686,"Powers of Two",1572112800,4027,Roy_Elia,1748698635,0
687,"Shuffling Cards",1572732000,357,glodavac,1709027978,0
688,"Piles of Plates",1573347600,878,brucehart,1743966490,0
689,"Binary Series",1573963200,255,SanguineChameleon2,1754438881,0
690,"Tom and Jerry",1574578800,240,Oleg.,1736724216,0
691,"Long Substring with Many Repetitions",1575194400,310,FlorianDelpoux,1752490732,0
692,"Siegbert and Jo",1575723600,1544,<i>Velsik</i>,1753044441,0
693,"Finite Sequence Generator",1576339200,318,FlorianDelpoux,1748209747,0
694,"Cube-full Divisors",1576954800,1165,sqrt73,1740936242,0
695,"Random Rectangles",1577570400,242,brucehart,1739998443,0
696,"Mahjong",1578186000,202,__LW__,1738686862,0
697,"Randomly Decaying Sequence",1578801600,666,bcsb1001,1751760279,0
698,"123 Numbers",1579417200,522,MrDrake,1748143218,0
699,"Triffle Numbers",1580032800,213,<i>Yoni</i>,1707347001,0
700,"Eulercoin",1580562000,4020,BrandonWojo,1751848455,0
701,"Random Connected Area",1581177600,411,FlorianDelpoux,1752618786,0
702,"Jumping Flea",1581793200,180,jgod8586,1650617914,0
703,"Circular Logic II",1582408800,368,FlorianDelpoux,1754214928,0
704,"Factors of Two in Binomial Coefficients",1583024400,1089,<i>Nick Potter</i>,1754802965,0
705,"Total Inversion Count of Divided Sequences",1583640000,509,MrDrake,1748861875,0
706,"$3$-Like Numbers",1584255600,652,MrDrake,1746344973,0
707,"Lights Out",1584871200,261,bukebuer,1718088963,0
708,"Twos Are All You Need",1585400400,368,aryabhatta_euler,1747464871,0
709,"Even Stevens",1586016000,1016,bcsb1001,1750610959,0
710,"One Million Members",1586631600,1474,<i>Icy</i>,1745348199,0
711,"Binary Blackboard",1586631600,377,FlorianDelpoux,1739233793,0
712,"Exponent Difference",1587247200,576,<i>Mikhail Lomonosov</i>,1749785115,0
713,"Turán's Water Heating System",1587862800,799,FlorianDelpoux,1734833484,0
714,"Duodigits",1588478400,817,sqrt73,1740531675,0
715,"Sextuplet Norms",1589094000,218,sshard,1734854744,0
716,"Grid Graphs",1589709600,254,j...,1747899551,0
717,"Summation of a Modular Formula",1590238800,569,MrDrake,1747001525,0
718,"Unreachable Numbers",1590854400,373,FlorianDelpoux,1740735279,0
719,"Number Splitting",1591470000,4630,ReaI,1748207604,0
720,"Unpredictable Permutations",1592085600,345,firas5673,1750848465,0
721,"High Powers of Irrational Numbers",1592701200,485,FlorianDelpoux,1738376474,0
722,"Slowly Converging Series",1593316800,591,<i>Mikhail Lomonosov</i>,1740704663,0
723,"Pythagorean Quadrilaterals",1593932400,202,bukebuer,1732099172,0
724,"Drone Delivery",1599310800,454,FlorianDelpoux,1738538014,0
725,"Digit Sum Numbers",1599926400,1278,sel68,1753548883,0
726,"Falling Bottles",1600542000,219,wim59,1660691036,0
727,"Triangle of Circular Arcs",1601157600,588,FlorianDelpoux,1736132920,0
728,"Circle of Coins",1601773200,314,FlorianDelpoux,1746314448,0
729,"Range of Periodic Sequence",1602388800,264,interpird,1750291104,0
730,"Shifted Pythagorean Triples",1603004400,203,Tinki-Vinki,1728043899,0
731,"A Stoneham Number",1603620000,656,brucehart,1740683859,0
732,"Standing on the Shoulders of Trolls",1604149200,250,FlorianDelpoux,1750591442,0
733,"Ascending Subsequences",1604764800,527,FlorianDelpoux,1737765729,0
734,"A Bit of Prime",1605380400,381,<i>Mikhail Lomonosov</i>,1750050885,0
735,"Divisors of $2n^2$",1605996000,242,aryabhatta_euler,1753451889,0
736,"Paths to Equality",1606611600,254,EthanKim8683,1738181793,0
737,"Coin Loops",1607227200,419,marecik16,1753187450,0
738,"Counting Ordered Factorisations",1607842800,317,FlorianDelpoux,1744764478,0
739,"Summation of Summations",1608458400,584,bukebuer,1749517983,0
740,"Secret Santa",1608987600,235,bukebuer,1752498537,0
741,"Binary Grid Colouring",1609603200,176,thedoctar,1737784922,0
742,"Minimum Area of a Convex Grid Polygon",1610218800,184,wim59,1685399431,0
743,"Window into a Matrix",1610834400,1382,ihapiw,1754240444,0
744,"What? Where? When?",1611450000,344,<i>Kelly Dance</i>,1743219217,0
745,"Sum of Squares II",1612065600,1426,<i>Zach</i>,1742680778,0
746,"A Messy Dinner",1612681200,319,FlorianDelpoux,1745017576,0
747,"Triangular Pizza",1613296800,215,staffn,1625765010,0
748,"Upside Down Diophantine Equation",1613826000,340,Redshiftz,1750321966,0
749,"Near Power Sums",1614441600,823,hitman47,1746272973,0
750,"Optimal Card Stacking",1615057200,371,FlorianDelpoux,1740440102,0
751,"Concatenation Coincidence",1615672800,2635,Roy_Elia,1748103654,0
752,"Powers of $1+\sqrt 7$",1616288400,748,hitman47,1750587645,0
753,"Fermat Equation",1616904000,445,RibozymeR,1754793951,0
754,"Product of Gauss Factorials",1617519600,809,i707107,1744917047,0
755,"Not Zeckendorf",1618740000,1013,Thiros,1739522315,0
756,"Approximating a Sum",1619874000,381,marecik16,1753540464,0
757,"Stealthy Numbers",1621094400,1413,P_P,1754221125,0
758,"Buckets of Water",1622314800,242,Swistakk,1749480966,0
759,"A Squared Recurrence Relation",1623535200,618,<i>Mikhail Lomonosov</i>,1739215928,0
760,"Sum over Bitwise Operators",1624755600,487,<i>Mikhail Lomonosov</i>,1740845021,0
761,"Runner and Swimmer",1625976000,184,derektypist2019,1688571010,0
762,"Amoebas in a 2D Grid",1630760400,244,wim59,1684387662,0
763,"Amoebas in a 3D Grid",1630760400,195,boulet,1735411595,0
764,"Asymmetric Diophantine Equation",1631376000,415,FlorianDelpoux,1746412442,0
765,"Trillionaire",1631991600,247,Henrygb,1723461119,0
766,"Sliding Block Puzzle",1633212000,363,FlorianDelpoux,1743825197,0
767,"Window into a Matrix II",1633827600,197,sshard,1737313597,0
768,"Chandelier",1634443200,215,<i>Yoni</i>,1738253612,0
769,"Binary Quadratic Form II",1635055200,170,Swistakk,1738422537,0
770,"Delphi Flip",1635674400,574,aryabhatta_euler,1748353481,0
771,"Pseudo Geometric Sequences",1636203600,142,wim59,1682802036,0
772,"Balanceable $k$-bounded Partitions",1636819200,583,walgong,1748238132,0
773,"Ruff Numbers",1637434800,228,j...,1734772931,0
774,"Conjunctive Sequences",1638050400,160,hacatu,1741460911,0
775,"Saving Paper",1638666000,270,FlorianDelpoux,1749944113,0
776,"Digit Sum Division",1639281600,615,sqrt73,1741014950,0
777,"Lissajous Curves",1639897200,140,Swistakk,1741114573,0
778,"Freshman's Product",1640512800,471,<i>Mikhail Lomonosov</i>,1740746905,0
779,"Prime Factor and Exponent",1641042000,565,Vicfred,1749951626,0
780,"Toriangulations",1641657600,149,ridiculous_compute,1744129893,0
781,"Feynman Diagrams",1642273200,149,plamenko,1748344524,0
782,"Distinct Rows and Columns",1642888800,173,ohadkel,1661914308,0
783,"Urns",1643504400,217,j...,1737893161,0
784,"Reciprocal Pairs",1644120000,454,hitman47,1749882733,0
785,"Symmetric Diophantine Equation",1644735600,220,<i>Icy</i>,1745523739,0
786,"Billiard",1645351200,142,Swistakk,1739123162,0
